rang;type_de_document;nombre_de_reservations;titre_avec_lien_vers_le_catalogue;auteur
280;Livre de section jeunesse > 12 ans;88;L'ange gardien;Muchamore, Robert
288;Livre pour adulte;86;Le confident;Grémillon, Hélène
290;Bande dessinée pour adulte;86;Olympe de Gouges;Catel
291;Nouveauté;86;Moi, René Tardi, prisonnier au Stalag II B;Tardi, Jacques
293;;86;Le guide du mauvais père. 1;Delisle, Guy
298;DVD- vidéo > 12 ans;85;Millenium - Les hommes qui n'aimaient pas les femmes;
299;DVD-vidéo tous publics;85;Downtown Abbey;
305;Bande dessinée jeunesse;84;Le cycle d'Anathos : renaissance;Sobral, Patrick
316;DVD-vidéo tous publics;83;The Grandmaster;
318;Bande dessinée pour adulte;82;L'apocalypse selon saint Jacky;Larcenet, Manu
325;Livre de section jeunesse > 12 ans;81;Le clan Aramov;Muchamore, Robert
326;;81;L'héritage. 4;Paolini, Christopher
331;Nouveauté;80;Dans les forêts de Sibérie : février-juillet 2010;Tesson, Sylvain
336;Nouveauté;80;La déesse des petites victoires;Grannec, Yannick
338;DVD-vidéo tous publics;80;Thérèse Desqueyroux;
340;DVD-vidéo tous publics;80;Tabou;
344;DVD-vidéo tous publics;79;L'écume des jours;
351;Nouveauté;78;Atomka;Thilliez, Franck
354;DVD-vidéo tous publics;77;Heimat 1 : une chronique allemande;Reitz, Edgar
357;Livre pour adulte;77;L'île des oubliés;Hislop, Victoria
368;DVD-vidéo tous publics;75;Breaking Bad : Saison 5;
370;DVD-vidéo tous publics;74;Le discours d'un roi;
377;Nouveauté;73;Il était une fois en France. 6. La terre promise;Nury, Fabien
383;Nouveauté;72;Le prisonnier du ciel;Ruiz Zafón, Carlos
388;Bande dessinée pour adulte;71;Monstrueux;Kirkman, Robert
389;Livre pour adulte;71;Trop intelligent pour être heureux ? : l'adulte surdoué;Siaud-Facchin, Jeanne
390;Bande dessinée jeunesse >12 ans;71;Fairy Tail. 3;Mashima, Hiro
393;DVD-vidéo tous publics;71;Madagascar 3 : bons baisers d'Europe;
394;DVD-vidéo tous publics;71;Sugar Man;
404;Bande dessinée jeunesse;69;Chi, une vie de chat. 4;Konami, K.
405;Livre pour adulte;69;Les revenants;Kasischke, Laura
413;Bande dessinée jeunesse >12 ans;68;Pour qui tu te prends ?;Delaf
419;Bande dessinée pour adulte;68;Les ignorants : récit d'une initiation croisée;Davodeau, Etienne
426;DVD-vidéo tous publics;67;Breaking bad. Saison 2;
440;Bande dessinée jeunesse;66;Sang royal;Sobral, Patrick
445;Nouveauté;66;La mort s'invite à Pemberley : roman;James, Phyllis Dorothy
447;Bande dessinée jeunesse;66;Le bal d'été;Algésiras
449;Livre pour adulte;66;Faillir être flingué;Minard, Céline
454;Livre jeunesse;65;Le dernier Olympien;Riordan, Rick
459;Bande dessinée jeunesse;65;Un couple d'enfer;Delaf
480;Livre pour adulte;63;La classe de rhéto;Compagnon, Antoine
485;Livre pour adulte;63;Ne lâche pas ma main : roman;Bussi, Michel
488;Bande dessinée jeunesse >12 ans;62;Piété filiale;Oda, Eiichiro
53;;211;Chroniques de Jérusalem;Delisle, Guy
55;DVD- vidéo > 12 ans;204;Drive;
57;Nouveauté;195;Les dragons de Meereen : roman;Martin, George R.R.
72;Nouveauté;176;Le quatrième mur : roman;Chalandon, Sorj
73;;173;Sauve-toi, la vie t'appelle;Cyrulnik, Boris
76;Livre pour adulte;169;Profanation : roman;Adler-Olsen, Jussi
78;Livre pour adulte;166;Cherchez la femme : roman;Ferney, Alice
79;DVD-vidéo tous publics;166;Zero Dark Thirty;
95;;146;14;Echenoz, Jean
97;DVD-vidéo tous publics;145;Looper;
104;Disque compact;137;Cold fact;Rodriguez
105;Nouveauté disque compact;137;Places;Doillon, Lou
120;DVD- vidéo > 12 ans;128;Bullhead;
122;Bande dessinée pour adulte;127;Blast. 3;Larcenet, Manu
126;Bande dessinée pour adulte;125;Passé décomposé. 1;Kirkman, Robert
129;DVD-vidéo tous publics;125;Borgen;
135;DVD-vidéo tous publics;122;The Dark Knight Rises;
137;DVD-vidéo tous publics;122;La chasse;
139;Nouveauté;121;Les anges meurent de nos blessures;Khadra, Yasmina
142;Bande dessinée jeunesse;119;Aya de Yopougon. 6;Abouet, Marguerite
148;DVD-vidéo tous publics;117;Mad Men : saison 5;
153;DVD-vidéo tous publics;116;Cherchez Hortense;
154;Livre pour adulte;115;Le trône de fer : l'intégrale. 1;Martin, George R.R.
155;Nouveauté;115;La muraille de lave;Arnaldur Indridason
169;;111;Miséricorde;Adler-Olsen, Jussi
172;Livre jeunesse;110;Rodrick fait sa loi;Kinney, Jeff
179;Bande dessinée jeunesse;109;Idylles;Neel, Julien
182;DVD-vidéo tous publics;109;Hugo Cabret;
189;Livre jeunesse;107;Le cycle d'Anathos : la marque du destin;Sobral, Patrick
197;DVD- vidéo > 12 ans;106;Des hommes sans loi;
198;Bande dessinée jeunesse >12 ans;105;J'irai voir Venise;Lyfoung, Patricia
201;DVD-vidéo tous publics;105;Homeland;
220;DVD-vidéo tous publics;100;Breaking bad : saison 4 ; Bryan Cranston, Anna Gunn, Aaron Paul..., act.;
230;;98;Garde tes larmes pour plus tard;Saint-André, Alix de
236;DVD-vidéo tous publics;96;Melancholia;
237;DVD-vidéo tous publics;96;Cloclo;
241;DVD- vidéo > 12 ans;95;Cogan - Killing Them Softly;
243;Bande dessinée jeunesse >12 ans;94;Lou !. 5;Neel, Julien
244;DVD- vidéo > 12 ans;94;Inglourious basterds;
252;DVD-vidéo tous publics;93;Blanche-Neige et le chasseur;
256;DVD-vidéo tous publics;92;Dark Shadows;
263;Bande dessinée jeunesse >12 ans;90;Mortebouse;Neel, Julien
281;DVD-vidéo tous publics;88;Gatsby le magnifique;
284;DVD-vidéo tous publics;87;A perdre la raison;
285;DVD-vidéo tous publics;87;The We and the I;
286;Nouveauté;87;Une chanson douce;Clark, Mary Higgins
292;;86;Qu'avons-nous fait de nos rêves ? : roman;Egan, Jennifer
