time;gFx;gFy;gFz;ax;ay;az;wx;wy;wz;P
3.041;0.02;0.00;1.00;0.00;0.00;0.01;0.00;0.00;0.00;0.00
3.041;0.02;0.00;1.00;-0.00;-0.01;0.00;0.00;0.00;0.00;0.00
3.09;0.02;0.00;1.00;-0.00;-0.01;0.00;0.00;0.00;0.00;0.00
3.099;0.02;0.00;1.00;-0.00;0.00;-0.02;0.00;0.00;0.00;0.00
3.108;0.02;0.00;1.00;-0.00;0.00;-0.02;0.00;0.00;0.00;0.00
3.109;0.02;0.00;1.00;-0.00;0.00;-0.02;0.00;0.00;0.00;0.00
3.11;0.02;0.00;1.00;-0.00;0.00;-0.02;0.00;0.00;0.00;0.00
3.15;0.02;0.00;1.00;-0.00;0.00;-0.02;-0.00;0.00;0.00;0.00
3.16;0.02;0.00;1.00;0.00;0.00;0.01;-0.00;0.00;0.00;0.00
3.179;0.02;0.01;1.00;0.00;0.00;0.01;-0.00;0.00;0.00;0.00
3.179;0.02;0.00;1.00;0.00;0.00;0.01;-0.00;0.00;0.00;0.00
3.18;0.02;0.00;1.00;0.00;0.00;0.01;-0.00;0.00;0.00;0.00
3.18;0.02;0.01;1.00;0.00;0.00;0.01;-0.00;0.00;0.00;0.00
3.21;0.02;0.01;1.00;0.00;0.00;0.01;0.00;-0.00;0.00;0.00
3.221;0.02;0.01;1.00;-0.00;0.01;0.00;0.00;-0.00;0.00;0.00
3.247;0.02;0.00;1.00;-0.00;0.01;0.00;0.00;-0.00;0.00;0.00
3.248;0.02;0.01;1.00;-0.00;0.01;0.00;0.00;-0.00;0.00;0.00
3.248;0.04;0.05;1.00;-0.00;0.01;0.00;0.00;-0.00;0.00;0.00
3.276;0.04;0.05;1.00;-0.00;0.01;0.00;-0.00;-0.00;-0.05;0.00
3.281;0.04;0.05;1.00;0.32;1.39;-0.01;-0.00;-0.00;-0.05;0.00
3.319;0.07;0.20;0.99;0.32;1.39;-0.01;-0.00;-0.00;-0.05;0.00
3.32;0.07;0.23;1.00;0.32;1.39;-0.01;-0.00;-0.00;-0.05;0.00
3.32;0.08;0.35;1.00;0.32;1.39;-0.01;-0.00;-0.00;-0.05;0.00
3.321;0.08;0.39;1.00;0.32;1.39;-0.01;-0.00;-0.00;-0.05;0.00
3.33;0.08;0.39;1.00;0.32;1.39;-0.01;-0.01;0.00;-0.09;0.00
3.341;0.08;0.39;1.00;0.57;3.81;-0.01;-0.01;0.00;-0.09;0.00
3.391;0.09;0.44;1.00;0.57;3.81;-0.01;-0.01;0.00;-0.09;0.00
3.393;0.07;0.51;1.00;0.57;3.81;-0.01;-0.01;0.00;-0.09;0.00
3.394;0.05;0.53;0.99;0.57;3.81;-0.01;-0.01;0.00;-0.09;0.00
3.394;0.05;0.53;0.99;0.57;3.81;-0.01;-0.03;0.01;-0.01;0.00
3.402;0.05;0.53;0.99;0.56;3.76;-0.01;-0.03;0.01;-0.01;0.00
3.452;0.05;0.53;0.99;0.56;3.76;-0.01;-0.04;-0.03;0.29;0.00
3.463;0.06;0.50;1.00;0.56;3.76;-0.01;-0.04;-0.03;0.29;0.00
3.464;0.09;0.42;1.00;0.56;3.76;-0.01;-0.04;-0.03;0.29;0.00
3.465;0.10;0.32;0.97;0.56;3.76;-0.01;-0.04;-0.03;0.29;0.00
3.466;0.09;0.18;1.00;0.56;3.76;-0.01;-0.04;-0.03;0.29;0.00
3.466;0.09;0.18;1.00;0.31;4.73;-0.02;-0.04;-0.03;0.29;0.00
3.512;0.09;0.18;1.00;0.31;4.73;-0.02;-0.12;-0.05;0.08;0.00
3.523;0.09;0.18;1.00;0.54;2.47;-0.13;-0.12;-0.05;0.08;0.00
3.527;0.06;0.25;0.98;0.54;2.47;-0.13;-0.12;-0.05;0.08;0.00
3.528;0.02;0.15;0.95;0.54;2.47;-0.13;-0.12;-0.05;0.08;0.00
3.529;0.00;-0.12;1.02;0.54;2.47;-0.13;-0.12;-0.05;0.08;0.00
3.573;0.00;-0.12;1.02;0.54;2.47;-0.13;-0.09;-0.05;-0.19;0.00
3.583;0.00;-0.12;1.02;-0.07;-0.48;-0.09;-0.09;-0.05;-0.19;0.00
